Geo Point;Geo Shape;visible;user;id;timestamp;amenity;.oms;other_tags
44.137385,4.8200048;"{""type"": ""Point"", ""coordinates"": [4.8200048, 44.137385]}";;cabinetcourbi;2484967618;2018-09-03T08:08:50+02:00;bench;;"{""survey:date"": ""2017-06-28"", ""backrest"": ""yes"", ""colour"": ""grey"", ""material"": ""wood"", ""source"": ""survey"", ""mapillary"": ""fEcBKioWhfhMki0U48oxTw"", ""seats"": ""3"", ""operator"": ""SNCF"", ""covered"": ""no"", ""level"": ""0"", ""armrest"": ""yes""}"
44.1374186,4.8194549;"{""type"": ""Point"", ""coordinates"": [4.8194549, 44.1374186]}";;JLZIMMERMANN;2484972499;2019-03-29T18:49:11+01:00;waste_basket;;"{""source"": ""survey"", ""waste"": ""trash"", ""level"": ""0"", ""operator"": ""SNCF"", ""indoor"": ""no""}"
44.1373951,4.8193782;"{""type"": ""Point"", ""coordinates"": [4.8193782, 44.1373951]}";;tony emery;2484976592;2016-04-01T11:44:46+02:00;waste_basket;;"{""source"": ""CCPRO 2016"", ""waste"": ""trash"", ""level"": ""0"", ""operator"": ""SNCF"", ""colour"": ""black"", ""indoor"": ""yes""}"
44.1374349,4.8193358;"{""type"": ""Point"", ""coordinates"": [4.8193358, 44.1374349]}";;JLZIMMERMANN;3873190955;2016-04-02T23:42:28+02:00;ticket_validator;;"{""source"": ""survey 2015"", ""mapillary"": ""1Ucgx_ZM7xiT0Xc5IwsV8w"", ""level"": ""0"", ""colour"": ""yellow"", ""indoor"": ""yes""}"
44.1373669,4.8194014;"{""type"": ""Point"", ""coordinates"": [4.8194014, 44.1373669]}";;JLZIMMERMANN;3873224251;2019-08-10T08:31:44+02:00;vending_machine;;"{""source"": ""survey"", ""mapillary"": ""Pv6roU4uFABksHr_xyfnKw"", ""survey:date"": ""2019-08-10"", ""vending"": ""food"", ""level"": ""0"", ""operator"": ""Selecta"", ""colour"": ""red"", ""indoor"": ""yes""}"
44.2716353,4.7081655;"{""type"": ""Point"", ""coordinates"": [4.7081655, 44.2716353]}";;tjes;4054622343;2016-03-11T13:32:57+01:00;bench;;"{""seats"": ""3"", ""material"": ""steel"", ""backrest"": ""yes""}"
43.3014729,5.3799597;"{""type"": ""Point"", ""coordinates"": [5.3799597, 43.3014729]}";;M GM;409097886;2016-11-26T15:13:49+01:00;bicycle_rental;;"{""website"": ""http://www.levelo-mpm.fr/"", ""capacity"": ""19"", ""name"": ""Saint-Charles Marseillaises"", ""operator"": ""Cyclocity"", ""ref"": ""1301"", ""network"": ""Le v\u00e9lo""}"
43.3022588,5.380754;"{""type"": ""Point"", ""coordinates"": [5.380754, 43.3022588]}";;oc-OpenStreetMap;4177271456;2019-05-20T18:57:19+02:00;taxi;;"{""name:oc"": ""Gara de Marselha-Sant Carles (Depausa)"", ""source:name:oc"": ""ieo-bdtopoc"", ""name"": ""Gare de Marseille-Saint-Charles (D\u00e9pose)"", ""level"": ""-1""}"
43.2965712,5.4060491;"{""type"": ""Point"", ""coordinates"": [5.4060491, 43.2965712]}";;FrançoiseR;3876695396;2015-12-04T18:41:11+01:00;taxi;;
43.2953763,5.56558;"{""type"": ""Point"", ""coordinates"": [5.56558, 43.2953763]}";;FrançoiseR;4200453499;2019-11-22T19:12:15+01:00;shelter;;"{""name"": ""Gare d'Aubagne"", ""shelter_type"": ""public_transport""}"
43.2955803,5.564532;"{""type"": ""Point"", ""coordinates"": [5.564532, 43.2955803]}";;Secouss;4200453542;2018-12-05T10:57:23+01:00;shelter;;"{""lit"": ""yes"", ""name"": ""Gare d'Aubagne"", ""shelter_type"": ""public_transport"", ""bench"": ""yes""}"
43.5536711,7.021343;"{""type"": ""Point"", ""coordinates"": [7.021343, 43.5536711]}";;seatsea;3706651974;2020-05-05T09:47:38+02:00;parking_entrance;;
43.6577943,7.1481034;"{""type"": ""Point"", ""coordinates"": [7.1481034, 43.6577943]}";;fmorel;3076322074;2014-09-14T10:04:50+02:00;post_box;;
43.7028919,7.2594475;"{""type"": ""Point"", ""coordinates"": [7.2594475, 43.7028919]}";;Xigan;3644649003;2020-02-01T16:59:44+01:00;bicycle_parking;;"{""covered"": ""no"", ""capacity"": ""10"", ""bicycle_parking"": ""stands""}"
43.7103339,7.2555119;"{""type"": ""Point"", ""coordinates"": [7.2555119, 43.7103339]}";;theop06;7545896997;2020-05-21T20:21:20+02:00;shelter;;"{""shelter_type"": ""public_transport"", ""bench"": ""yes""}"
43.6844460916,4.63106571061;"{""type"": ""LineString"", ""coordinates"": [[4.630887, 43.684506], [4.6308285, 43.6844863], [4.6305564, 43.6843764], [4.6305756, 43.6843507], [4.6305884, 43.6843327], [4.6310921, 43.684393], [4.6314879, 43.6844387], [4.6315453, 43.6844586], [4.6315846, 43.6844863], [4.631459, 43.6845334], [4.6312275, 43.6845506], [4.6310597, 43.6845286], [4.630887, 43.684506]]}";;haavee;312191372;2019-12-02T17:45:11+01:00;bus_station;;"{""wheelchair"": ""yes"", ""name"": ""Gare Routi\u00e8re"", ""public_transport"": ""station""}"
43.9212959019,4.78413193326;"{""type"": ""LineString"", ""coordinates"": [[4.7832107, 43.9217713], [4.7830124, 43.9214837], [4.7850671, 43.9208301], [4.785106, 43.9208525], [4.785253, 43.9210954], [4.7832107, 43.9217713]]}";;JLZIMMERMANN;131737484;2013-04-24T09:06:48+02:00;parking;;"{""parking"": ""surface"", ""description"": ""Parking longue dur\u00e9e"", ""name"": ""P2""}"
