Année,Entité administrative,Id Entité,Activité,Energie,Variable,Valeur,Unite
2017,FONTIENNE (04),4087,Tous secteurs,Toutes énergies,co2,566335.8,kg
2017,FONTVIEILLE (13),13038,Tous secteurs,Toutes énergies,co2,11821846.7,kg
2017,FORCALQUEIRET (83),83059,Tous secteurs,Toutes énergies,co2,8694133.9,kg
2017,FORCALQUIER (04),4088,Tous secteurs,Toutes énergies,co2,14175490.1,kg
2017,FOREST-SAINT-JULIEN (05),5056,Tous secteurs,Toutes énergies,co2,2525480.3,kg
2017,FOS-SUR-MER (13),13039,Tous secteurs,Toutes énergies,co2,10147723996,kg
2017,FOUILLOUSE (05),5057,Tous secteurs,Toutes énergies,co2,755245.3,kg
2017,FOX-AMPHOUX (83),83060,Tous secteurs,Toutes énergies,co2,2162157.7,kg
2017,FREISSINIÈRES (05),5058,Tous secteurs,Toutes énergies,co2,1557750.8,kg
2017,FRÉJUS (83),83061,Tous secteurs,Toutes énergies,co2,213952231.4,kg
2017,FURMEYER (05),5060,Tous secteurs,Toutes énergies,co2,722189.5,kg
2017,FUVEAU (13),13040,Tous secteurs,Toutes énergies,co2,60065397.6,kg
2017,GANAGOBIE (04),4091,Tous secteurs,Toutes énergies,co2,7203591.2,kg
2017,GAP (05),5061,Tous secteurs,Toutes énergies,co2,145039950.9,kg
2017,GARDANNE (13),13041,Tous secteurs,Toutes énergies,co2,333868783.1,kg
2017,GARÉOULT (83),83064,Tous secteurs,Toutes énergies,co2,9099370.3,kg
2017,GARGAS (84),84047,Tous secteurs,Toutes énergies,co2,8995154.9,kg
2017,GARS (06),6063,Tous secteurs,Toutes énergies,co2,196761.2,kg
2017,GASSIN (83),83065,Tous secteurs,Toutes énergies,co2,26058262.9,kg
2017,GATTIÈRES (06),6064,Tous secteurs,Toutes énergies,co2,18695512,kg
2017,GÉMENOS (13),13042,Tous secteurs,Toutes énergies,co2,28627441.9,kg
2017,GIGNAC (84),84048,Tous secteurs,Toutes énergies,co2,807431.7,kg
2017,GIGNAC-LA-NERTHE (13),13043,Tous secteurs,Toutes énergies,co2,43098482.6,kg
2017,GIGONDAS (84),84049,Tous secteurs,Toutes énergies,co2,4721750.3,kg
2017,GIGORS (04),4093,Tous secteurs,Toutes énergies,co2,415749.7,kg
2017,GILETTE (06),6066,Tous secteurs,Toutes énergies,co2,7022487.2,kg
2017,GINASSERVIS (83),83066,Tous secteurs,Toutes énergies,co2,15254520.8,kg
2017,GONFARON (83),83067,Tous secteurs,Toutes énergies,co2,16850156.7,kg
2017,GORBIO (06),6067,Tous secteurs,Toutes énergies,co2,10889634,kg
2017,GORDES (84),84050,Tous secteurs,Toutes énergies,co2,13663437.2,kg
2017,GOULT (84),84051,Tous secteurs,Toutes énergies,co2,10625949.5,kg
2017,GOURDON (06),6068,Tous secteurs,Toutes énergies,co2,2941785.4,kg
2017,GRAMBOIS (84),84052,Tous secteurs,Toutes énergies,co2,4965947.3,kg
2017,GRANS (13),13044,Tous secteurs,Toutes énergies,co2,35091731.6,kg
2017,GRASSE (06),6069,Tous secteurs,Toutes énergies,co2,161276680.2,kg
2017,GRAVESON (13),13045,Tous secteurs,Toutes énergies,co2,13327817.6,kg
